#,Title,Artist,Album,Genre,BPM,Rating,Time,Key,Date Added,DJ
1,Walk Over,Irakli,Moments 002,,121.98,     ,05:03,Bm,2016-09-22,Olga
2,Grace,The 7th Plain,Chronicles I,,124,     ,03:24,G,2016-08-15,Olga
3,grn-HF,Lory D,Strange Days Vol. 3,Techno,124,     ,07:11,Em,2016-09-27,Olga
4,Real Truth,ÈBONY vs 'R',Real Truth,,128,     ,06:35,Em,2016-08-15,Olga
5,Astrid Oelzant,Ryan James Ford,G5olk 4rfete,Techno,130,     ,05:03,Am,2016-09-22,Olga
6,How We Fall,Edit Select,10.III SEMANTICA 10.III,Techno,127,*****,07:41,Bm,2016-09-22,Olga
7,Trance T,Buttechno,Tepily Stan (Тёплый Стан) EP,,137,     ,06:19,Dbm,2016-08-15,Olga
8,Sensation (Rrose Remix),Daniel Avery,,,120,     ,08:32,E,2016-09-16,Olga
9,F3,Function,F(Q): Function Of Bandwidth,Techno,130.47,     ,06:39,A,2016-06-11,Olga
10,A1,Works Unit ,Works Unit,,,,,,,Olga
11,Apo-G,Farron,"Have Sword, Will Travel",,130,     ,06:54,Bm,2016-08-06,Olga
12,NGC6826 (Blinking Eye),Inigo Kennedy,NGC EP,techno,130.01,     ,07:51,Em,2016-09-27,Olga
13,Lies,Boston 168,Revelation EP,,,,,,,Olga
14,Travel Through Your Mind,Farron,Different Seasons Vol. 2,,130,     ,06:05,Em,2016-08-06,Olga
15,DX3_Analog_Bass_Seq,Function,Ostgut Ton Zehn,Techno,125,**** ,06:40,Dm,2016-03-27,Olga
16,IMPRV,Nina Kraviz,The Deviant Octopus,Techno,129,*****,06:32,Gm,2015-10-23,Olga
17,Numinous,Kris Wadsworth,Infiltrator,Techno,124.97,*****,07:42,Bb,2016-05-24,Olga
18,Imagine,Cadency,Digitally Controlled Emotionless Systems EP,,,,,,,Olga
19,Deep Acoustic,Lory D,DJ-Kicks: Jackmaster,,128,*****,07:53,Fm,2016-07-10,Olga
20,Toree Bahrstad,Ryan James Ford,Realm Of Consciousness,159,131,*****,05:35,Fm,2016-06-25,Olga
21,Isolated,Marco Zenker,Phony Pictures,Techno,130,*****,06:38,Abm,2016-09-27,Olga
22,Sunday Off,BUCK,Nuove Sessioni,Techno,126,*****,06:36,F#m,2016-08-06,Olga
23,Savage Coast,DJ Richard,Grind,TECHNO / HOUSE,118,*****,06:04,F#m,2015-09-22,Olga
