#,Artwork,Track Title,Artist,Album,Genre,BPM,Rating,Time,Key,Date Added
1,,Dreamer,Hydrangea,Compilation 001,,120,**** ,05:17,C,2016-12-24
2,,Ich bin meine Maschine (Function Remix),Atom™,Ich Bin Meine Maschine,Electronic,126,     ,07:43,Am,2016-10-09
3,,This World Is Fucked Up,Aeris,Compilation 001,,132,*****,08:40,Gm,2016-12-24
4,,Tear Down The Walls (Original mix),PLAGGONA,Propaganda Of The Deed,Techno,129,**** ,06:08,Gm,2016-12-28
5,,Landing XX,Ellen Allien,Landing XX,Techno,128,**** ,08:04,F,2016-11-12
6,,Indemnify (Original Mix),Keith Carnal,Illusion,Techno,128,*****,06:36,Am,2016-12-20
7,,Zero Nine Six (Original Mix),Markus Suckut,Good Times EP,Techno,130,*****,06:57,Am,2016-12-25
8,,Adulthood,UVB,Dogma,,133.9,*****,04:34,Gm,2016-06-25
9,,Dawn,Pär Grindvik,Mnemosyne,,130,*****,06:57,Cm,2016-12-24
10,,Tholus,Active Fragments,Compilation 001,,130,**** ,06:24,Fm,2016-12-24
11,,Glicken,Electric Rescue,[LCNT001] Nation Techno: France,,128,*****,06:30,Ab,2016-12-18
12,,Just A Thought,Staffan Linzatti,[EVENT0014] What One Sees (Album Prelude),,133,**** ,04:43,F#,2016-12-18
13,,B - J.C. - Atlas (Efdemin Remix),CABRERA,J.C. - Path to Nirvana (Efdemin Remix),,135,     ,06:53,F#m,2016-12-24
14,,Bell Blocker,Planetary Assault Systems,The Messenger,Electronica,129,     ,07:32,Em,2011-10-27
15,,Path of a projectile,Nima Khak,Nima Khak - Path of a projectile - PRBL004D,,134,*****,05:38,G,2016-12-26
16,,Plasma (Remoduled),MTD,Mantua EP,Techno,129,     ,06:06,D,2016-12-28
17,,Golem,Shlømo,47005,Techno,132,*****,05:40,G,2016-08-15
18,,Nada Reincarnation,Evigt Mörker,Helmet Of Bones. SEMANTICA 81,,124,*****,05:25,F#m,2016-12-24
19,,M.U.M.,Shlmo,Vanished Breath EP,Techno,129,*****,06:45,Dbm,2016-10-16
20,,Zero Nine Six (Original Mix),Markus Suckut,Good Times EP,Techno,130,*****,06:57,Am,2016-12-25
21,,Adulthood,UVB,Dogma,,133.9,*****,04:34,Gm,2016-06-25
22,,Indemnify (Original Mix),Keith Carnal,Illusion,Techno,128,*****,06:36,Am,2016-12-20
23,,Golem,Shlømo,47005,Techno,132,*****,05:40,G,2016-08-15
24,,Dreamer,Hydrangea,Compilation 001,,120,**** ,05:17,C,2016-12-24
25,,Ich bin meine Maschine (Function Remix),Atom™,Ich Bin Meine Maschine,Electronic,126,     ,07:43,Am,2016-10-09
26,,This World Is Fucked Up,Aeris,Compilation 001,,132,*****,08:40,Gm,2016-12-24
27,,Tear Down The Walls (Original mix),PLAGGONA,Propaganda Of The Deed,Techno,129,**** ,06:08,Gm,2016-12-28
28,,Landing XX,Ellen Allien,Landing XX,Techno,128,**** ,08:04,F,2016-11-12
29,,Indemnify (Original Mix),Keith Carnal,Illusion,Techno,128,*****,06:36,Am,2016-12-20
30,,Zero Nine Six (Original Mix),Markus Suckut,Good Times EP,Techno,130,*****,06:57,Am,2016-12-25
31,,Adulthood,UVB,Dogma,,133.9,*****,04:34,Gm,2016-06-25
32,,Dawn,Pär Grindvik,Mnemosyne,,130,*****,06:57,Cm,2016-12-24
33,,Tholus,Active Fragments,Compilation 001,,130,**** ,06:24,Fm,2016-12-24
34,,Glicken,Electric Rescue,[LCNT001] Nation Techno: France,,128,*****,06:30,Ab,2016-12-18
35,,Just A Thought,Staffan Linzatti,[EVENT0014] What One Sees (Album Prelude),,133,**** ,04:43,F#,2016-12-18
36,,B - J.C. - Atlas (Efdemin Remix),CABRERA,J.C. - Path to Nirvana (Efdemin Remix),,135,     ,06:53,F#m,2016-12-24
37,,Bell Blocker,Planetary Assault Systems,The Messenger,Electronica,129,     ,07:32,Em,2011-10-27
38,,Path of a projectile,Nima Khak,Nima Khak - Path of a projectile - PRBL004D,,134,*****,05:38,G,2016-12-26
39,,Plasma (Remoduled),MTD,Mantua EP,Techno,129,     ,06:06,D,2016-12-28
40,,Golem,Shlømo,47005,Techno,132,*****,05:40,G,2016-08-15
41,,Nada Reincarnation,Evigt Mörker,Helmet Of Bones. SEMANTICA 81,,124,*****,05:25,F#m,2016-12-24
42,,M.U.M.,Shlmo,Vanished Breath EP,Techno,129,*****,06:45,Dbm,2016-10-16
