#,Title,Artist,Album,Genre,BPM,Rating,Time,Key,Date Added
1,Radiations (Original Version),Driftmachine,Radiations,,128,*****,05:28,Gm,2017-01-29
2,Radiations (Shackleton Remix),Driftmachine,Radiations,,127.96,*****,10:27,C,2017-01-22
3,Mare Vaporum,Lunar Convoy,Σ05,,124,**** ,06:42,Fm,2017-01-14
4,I Think I'd Lie for You,Varg,Nordic Flora Series Pt.1: Heroine,,130,*****,07:20,Gm,2016-12-20
5,Plasticine (Original Mix),"Plastikman, Richie Hawtin",Sheet One,Minimal,121.84,     ,11:17,C,2017-01-14
6,Daydream,Polysick,Daydream,TECHNO / HOUSE,130,*****,06:59,Gm,2013-07-14
7,Aurora,Donato Dozzy,That Fab,,124.01,     ,06:17,Dm,2017-02-04
8,A2. Sensi,Z.I.P.P.O,INV013 - Z.I.P.P.O | Circular Immersion,,133,     ,05:49,Em,2017-01-06
9,Pegasi (Original Mix),JAM.,Pegasi EP,Techno,132,     ,06:03,Gm,2017-02-03
10,Sequel,Alderaan,Ground-Fault-Interrupt Vol. 2,,130,*****,06:01,Am,2017-02-04
11,Endless Love,MTD,Mantua EP,,129,*****,07:03,Am,2017-01-29
12,Stressed (Original Mix),DJ Deep,DJ Deep Cuts Vol 2,Techno,130,     ,04:50,Am,2017-02-03
13,Averting,Blue Hour,Infrastructure - Facticity,,134,*****,05:17,Am,2016-06-25
14,Illusion (Original Mix),Keith Carnal,Illusion,Techno,130,*****,08:29,F#m,2016-12-20
15,Antipode,NON REVERSIBLE,Convergent Boundary E.P.,,128,*****,06:39,Am,2017-01-18
16,Fabrizio Lapiana - Stress,Fabrizio Lapiana,ATTIC001 - Antimatter 1,,130,*****,06:01,Gm,2017-01-14
17,Azul & Oro,P.E.A.R.L.,Ground-Fault-Interrupt Vol. 2,,130,*****,05:54,A,2017-02-04
18,Untitled ,Richard Bartz ,Subway,house,131.98,*****,04:13,Abm,2016-03-27
19,Fivo (2014 Remaster),Surgeon,Rare Tracks 1995-1996,TECHNO / HOUSE,135.51,     ,05:06,Gm,2015-06-30
20,Xyoflux_D53 ( Ben Gibson Rmx ),Moteka ( Ben Bibson Rmx ),Xyoflux,,129,*****,06:15,Gm,2017-01-18
