#,Artwork,Track Title,Artist,Album,Genre,BPM,Rating,Time,Key,Date Added
1,,Slow Slippy,Underworld,T2 Trainspotting (Original Motion Picture Soundtrack),Саундтреки,160.01,     ,03:50,Gm,2017-02-19
2,,Out from Under,Lost Trax,Life Out of Balance,,135,*****,05:43,E,2016-11-06
3,,B2,Levon Vincent,Untitled,,125.3,     ,03:56,Dbm,2016-10-09
4,,Strain Tensor (Original Mix),Architectural,Elastic Layouts,Techno,120,**** ,06:16,E,2016-06-25
5,,All My Atoms (CW/A Remix),Alex Smoke,All My Atoms (CW/A Remix),,130.01,     ,06:15,E,2016-04-08
6,,Ultraviolet,Voiski,[LCNT001] Nation Techno: France,,130,*****,06:57,Em,2016-12-18
7,,Calyptraphorus (Original Mix),Voiski,Calyptraphorus Velatus,Techno,128.99,*****,06:13,E,2016-05-03
8,,Tension,Virulent,Disconnections EP,,128,*****,06:30,F#m,2016-02-07
9,,Shut Down (Paul Birken Remix),Dave Tarrida,TRIP002 - Shut Down EP,,136,*****,06:08,Eb,2017-01-04
10,,The Calmness of Distortion,RX-101,EP 1,,130.76,***  ,05:45,Cm,2017-01-29
11,,A. The Friend-Re-wet featuring Shady P,The Friend,BREED 01,Blues,117,     ,07:27,Abm,2015-06-30
12,,I Laf You,TAFKAMP,Paling Trax 3,,127,*****,04:57,Eb,2016-06-25
13,,Eyes Wide Shut,Two Sided Agency,,,126,     ,07:20,Bbm,2017-02-19
14,,Dr. Massachusetts,Maymind,Prophet EP,,125,*****,05:13,Bbm,2016-06-11
15,,RAW (Function Remix),Epi Centrum,Raw Ep,Techno,128,     ,06:03,Bb,2016-05-15
16,,Drakonia,Dez Williams,Killekill Megahits II (KILLEKILL025),,128,**** ,06:31,Bbm,2016-05-24
17,,Turn On,Markus Suckut,Three Trips EP,,128,     ,06:34,D,2015-06-30
18,,Centric (Original Mix),ASC,Internal Software,Techno,127.5,     ,05:24,B,2017-02-11
19,,Avernian,Kobosil,91,Techno,133,*****,05:23,Ab,2015-12-01
20,,Tension,Virulent,Disconnections EP,,128,*****,06:30,F#m,2016-02-07
21,,Huntsman,Vincent Vidal,Ritual,,128,     ,07:15,F#m,2016-10-09
22,,Framing,Stanislav Tolkachev,Ground-Fault-Interrupt Vol. 2,,135,*****,06:06,Fm,2017-02-04
23,,Summerend,Kangding Ray,Compilation,,126,*****,05:19,Gm,2016-12-20
24,,Obsession,Shlmo,Vanished Breath EP,Techno,132,*****,05:52,F#m,2016-10-16
25,,Stressin (Original Mix),DJ Deep,DJ Deep Cuts Vol 2,Techno,130,     ,06:56,Gm,2017-02-03
26,,Crossover,stranger,Crossover / Take Control,,128,*****,05:09,Gm,2017-01-29
27,,No Good (Start The Dance) (Original Mix),The Prodigy,Their Law The Singles 1990 - 2005,Electronica / Downtempo,145,     ,06:19,Cm,2017-02-03
28,,Slow Slippy,Underworld,T2 Trainspotting (Original Motion Picture Soundtrack),Саундтреки,160.01,     ,03:50,Gm,2017-02-19
